skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
Aad22122h	16	6	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
a1x1h	16	10	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
a222m	16	16	5	SZX_ANOMER	SZ3_METHYL_L	1	3	0	1	0	0	0	0	0	5	0	0	0	-
a22xh	16	16	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
a2d11m	16	8	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
ad211h	16	12	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
ad212h	16	13	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
ax121h	16	9	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
ax222h	16	8	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
ax22xm	16	8	6	SZX_ANOMER	SZ3_METHYL_L	1	2	2	1	0	0	0	0	0	6	0	0	0	-
oxh	16	2	3	SZ2_ALDEHYDE	SZ3_HYDROXYL	0	0	1	0	0	1	0	0	0	2	1	0	0	-
a121xh	15	13	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
a212m	15	15	5	SZX_ANOMER	SZ3_METHYL_L	1	3	0	1	0	0	0	0	0	5	0	0	0	-
a2212A	15	6	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a22d1m	15	12	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
ad11xh	15	5	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	1	0	0	0	0	0	6	0	0	0	-
adx2h	15	14	5	SZX_ANOMER	SZ3_HYDROXYL	1	1	1	1	0	0	0	0	0	5	0	0	0	-
ax2xxm	15	4	6	SZX_ANOMER	SZ3_METHYL_L	1	1	3	1	0	0	0	0	0	6	0	0	0	-
axx11m	15	6	6	SZX_ANOMER	SZ3_METHYL_L	1	2	2	1	0	0	0	0	0	6	0	0	0	-
h12h	15	2	4	SZ3_HYDROXYL	SZ3_HYDROXYL	0	2	0	0	0	0	0	0	0	4	0	0	0	-
hax22h	15	4	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	6	0	0	0	-
A2h	14	7	3	SZ2_ACID_U	SZ3_HYDROXYL	0	1	0	0	0	0	1	0	0	2	1	0	0	-
Aad11221h	14	6	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
Aad21121h	14	11	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
Aadxxxxh	14	4	8	SZ2_ACID_U	SZ3_HYDROXYL	1	0	4	1	0	0	1	0	0	7	1	0	0	-
a1x12h	14	10	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
a212xA	14	10	6	SZX_ANOMER	SZ2_ACID_U	1	3	1	0	0	0	1	0	0	5	1	0	0	-
a222xh	14	9	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
a2x2h	14	11	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
ad2xh	14	8	5	SZX_ANOMER	SZ3_HYDROXYL	1	1	1	1	0	0	0	0	0	5	0	0	0	-
addxxm	14	3	6	SZX_ANOMER	SZ3_METHYL_L	1	0	2	3	0	0	0	0	0	6	0	0	0	-
ax1xh	14	7	5	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	0	0	0	0	0	0	5	0	0	0	-
axxx1m	14	5	6	SZX_ANOMER	SZ3_METHYL_L	1	1	3	1	0	0	0	0	0	6	0	0	0	-
Aad11222h	13	7	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
Aad112A	13	3	7	SZ2_ACID_U	SZ2_ACID_U	1	3	0	1	0	0	2	0	0	5	2	0	0	-
Aad2122h	13	3	8	SZ2_ACID_U	SZ3_HYDROXYL	1	4	0	1	0	0	1	0	0	7	1	0	0	-
a11eEA	13	2	6	SZX_ANOMER	SZ2_ACID_U	1	2	0	0	0	0	1	2	0	3	3	0	0	-
a1xxxm	13	4	6	SZX_ANOMER	SZ3_METHYL_L	1	1	3	1	0	0	0	0	0	6	0	0	0	-
a2d1h	13	13	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
a2x1h	13	8	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
ax21h	13	8	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
