map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*1O(CCCCCOCCC$7/11$3/9)CC/12C(/4)*2	1	1	13	11	2	0	0	0	0	9	2	2	5,6	0	0	3	O
*1O(CCCOC$3/7)=C(/5)=O(/4)*2	1	1	8	5	3	0	0	0	0	5	1	1	5	1	1	1	O
*1O(CCNCCN$3/7)N=^ZCNC($6/4)*2/12=O/10N	1	1	13	6	2	5	0	0	0	6	2	1	6,6	1	0	0	O
*1OC(CCCCCC$4/9)O(/7)O(/6)C(/5)*2/3=O	1	1	12	8	4	0	0	0	0	6	1	1	6	1	1	1	O
*1OC(CCCCCC$4/9)O(/7)OC(/6)C(/5)*2/3=O	1	1	13	9	4	0	0	0	0	6	1	1	6	1	1	1	O
*1OC(CCCCCC$4/9)O(/8)O(/7)OC(/5)*2/3=O	1	1	13	8	5	0	0	0	0	6	1	1	6	1	1	1	O
*1OC(CCCCCC$4/9)OC(/7)O(/5)*2/3=O	1	1	12	8	4	0	0	0	0	6	1	1	6	1	1	1	O
*1OC=^EC*2/4C(CCCCCC$7/9)OC(/8)N$3/15C/6=O	1	1	15	11	3	1	0	0	0	6	2	1	6,6	1	0	1	O
*1OC=^ZN*2/3C	1	1	4	2	1	1	0	0	0	0	0	0	-	0	0	2	O
*1OCC*3/4=CNC^X*2/8C/3=O	1	1	8	5	2	1	0	0	0	0	0	0	-	1	1	3	O
*1OCCCC^RC^RCO*2/8=O/7C/7O/6C/4=^ZCC/3=O	1	1	15	10	5	0	0	0	0	0	0	0	-	2	2	7	O
*1OCCN*2/5CCC	1	1	7	5	1	1	0	0	0	0	0	0	-	0	0	3	O
*1OCC^R*3/4C(CCCCCCCC$9/8CCCC$7/17)OC(/16)OC(/15)OC(/13)OCO($12/10)*2/3=O	1	1	26	19	7	0	0	0	0	12	3	2	5,6,6	1	1	3	O
*1OCC^S*2/4C(CCCCCC$7/10)OCO($9)/3=O	1	1	14	10	4	0	0	0	0	6	2	1	5,6	1	1	3	O
*1OCC^S*2/4C/3=O	1	1	5	3	2	0	0	0	0	0	0	0	-	1	1	3	O
*1OCC^S*2/4CCO/7=O/3C/3C	1	1	9	6	3	0	0	0	0	0	0	0	-	1	1	5	O
