rescode	glycans	smiles
h2122h_6*OCC/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COC(C)=O)O)O)O)O)O
h212h_2*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H](CO)O)O)OP(O)(O)=O)O
h212h_5*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H](COP(O)(O)=O)O)O)O)O
h21h_1*S_4*S	1	C([C@@H]([C@H](CS)O)O)S
h2211h_1-5	1	C1[C@@H]([C@@H]([C@H]([C@H](CO)O1)O)O)O
h2211h_2-5	1	C([C@H]1[C@@H]([C@H]([C@H](CO)O1)O)O)O
h2212h	1	C([C@@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O
h221h_1*OPO/3O/3=O_5*N	1	C([C@@H]([C@@H]([C@H](CN)O)O)O)OP(O)(O)=O
h221h_4*OCC/3=O	1	C([C@@H]([C@@H]([C@H](CO)OC(C)=O)O)O)O
h2221h	1	C([C@@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O
h2221h_1-5	1	C1[C@@H]([C@@H]([C@@H]([C@H](CO)O1)O)O)O
h2222h	1	C([C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)O
h2222h_1-5	1	C1[C@@H]([C@@H]([C@@H]([C@@H](CO)O1)O)O)O
h2222h_1-5_2*NCC/3=O	1	C1[C@@H]([C@@H]([C@@H]([C@@H](CO)O1)O)O)NC(C)=O
h222h_1*N_5*OPO/3O/3=O	1	C([C@@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)N
h222h_1*OPO/3O/3=O_5*N	1	C([C@@H]([C@@H]([C@@H](CN)O)O)O)OP(O)(O)=O
h222h_2*N_5*OPO/3O/3=O	1	C([C@@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)N)O
h222h_2*OPO/3O/3=O	1	C([C@@H]([C@@H]([C@@H](CO)O)O)OP(O)(O)=O)O
h22h_1*OPO/3O/3=O	1	C([C@@H]([C@@H](CO)O)O)OP(O)(O)=O
h22h_1*S_4*S	1	C([C@@H]([C@@H](CS)O)O)S
h22h_4*OPO/3O/3=O	1	C([C@@H]([C@@H](COP(O)(O)=O)O)O)O
h2Xh_3*CO	1	C([C@@H](C(CO)(O)CO)O)O
h2h_1*N	1	C([C@@H](CO)O)N
h2h_1*OPO/3O/3=O_2*OC_3*OC	1	C([C@@H](COC)OC)OP(O)(O)=O
h2h_1*S	1	C([C@@H](CO)O)S
h2h_2*OCC/3=O_3*OCC/3=O	1	C([C@@H](COC(C)=O)OC(C)=O)O
h2x1h	1	C([C@@H](C([C@H](CO)O)O)O)O
hxh_1*Br	1	C(C(CO)O)Br
hxh_1*OCC/3=O_2*OCC/3=O_3*OCC/3=O	1	C(C(COC(C)=O)OC(C)=O)OC(C)=O
hxh_1*S	1	C(C(CO)O)S
hxh_2*N	1	C(C(CO)N)O
hxh_2*OPO/3O/3=O	1	C(C(CO)OP(O)(O)=O)O
hxxh	1	C(C(C(CO)O)O)O
hxxh_1*S_4*S	1	C(C(C(CS)O)O)S
hxxm	1	C(C(C(C)O)O)O
hxxxh	1	C(C(C(C(CO)O)O)O)O
hxxxxh_1*NC	1	C(C(C(C(C(CO)O)O)O)O)NC
hxxxxh_1-5	1	C1C(C(C(C(CO)O1)O)O)O
hxxxxh_2*NCC/3=O	1	C(C(C(C(C(CO)O)O)O)NC(C)=O)O
hxxxxh_2-5	1	C(C1C(C(C(CO)O1)O)O)O
hxxxxm	1	C(C(C(C(C(C)O)O)O)O)O
